¬í	ECG	¤ß¸õ²v
0	-1.09192	0
0.001	-1.09161	0
0.002	-1.0907	0
0.003	-1.08948	0
0.004	-1.08765	0
0.005	-1.08582	0
0.006	-1.08368	0
0.007	-1.08185	0
0.008	-1.08002	0
0.009	-1.07849	0
0.01	-1.07697	0
0.011	-1.07605	0
0.012	-1.07513	0
0.013	-1.07452	0
0.014	-1.07361	0
0.015	-1.07239	0
0.016	-1.07086	0
0.017	-1.06934	0
0.018	-1.0675	0
0.019	-1.06598	0
0.02	-1.06476	0
0.021	-1.06384	0
0.022	-1.06293	0
0.023	-1.06293	0
0.024	-1.06384	0
0.025	-1.06537	0
0.026	-1.06812	0
0.027	-1.07178	0
0.028	-1.07605	0
0.029	-1.08124	0
0.03	-1.08673	0
0.031	-1.09314	0
0.032	-1.09924	0
0.033	-1.10504	0
0.034	-1.11023	0
0.035	-1.11359	0
0.036	-1.11542	0
0.037	-1.1142	0
0.038	-1.10962	0
0.039	-1.10138	0
0.04	-1.08856	0
0.041	-1.07117	0
0.042	-1.04858	0
0.043	-1.02081	0
0.044	-0.987549	0
0.045	-0.948792	0
0.046	-0.904236	0
0.047	-0.853882	0
0.048	-0.79834	0
0.049	-0.738831	0
0.05	-0.67627	0
0.051	-0.612793	0
0.052	-0.550232	0
0.053	-0.490723	0
0.054	-0.435791	0
0.055	-0.386963	0
0.056	-0.346069	0
0.057	-0.313416	0
0.058	-0.289917	0
0.059	-0.275879	0
0.06	-0.272217	0
0.061	-0.279236	0
0.062	-0.297241	0
0.063	-0.325928	0
0.064	-0.365601	0
0.065	-0.414429	0
0.066	-0.471497	0
0.067	-0.534058	0
0.068	-0.600281	0
0.069	-0.668335	0
0.07	-0.736389	0
0.071	-0.802917	0
0.072	-0.866699	0
0.073	-0.926819	0
0.074	-0.98175	0
0.075	-1.0321	0
0.076	-1.07697	0
0.077	-1.11755	0
0.078	-1.15326	0
0.079	-1.18469	0
0.08	-1.21216	0
0.081	-1.23566	0
0.082	-1.25549	0
0.083	-1.27228	0
0.084	-1.28632	0
0.085	-1.29852	0
0.086	-1.30951	0
0.087	-1.31989	0
0.088	-1.32935	0
0.089	-1.3385	0
0.09	-1.34674	0
0.091	-1.35437	0
0.092	-1.36047	0
0.093	-1.36505	0
0.094	-1.36749	0
0.095	-1.36749	0
0.096	-1.36505	0
0.097	-1.36047	0
0.098	-1.35345	0
0.099	-1.3443	0
0.1	-1.33301	0
0.101	-1.31927	0
0.102	-1.30371	0
0.103	-1.28601	0
0.104	-1.26648	0
0.105	-1.24542	0
0.106	-1.22345	0
0.107	-1.20056	0
0.108	-1.17767	0
0.109	-1.15509	0
0.11	-1.13312	0
0.111	-1.11206	0
0.112	-1.09222	0
0.113	-1.07391	0
0.114	-1.05682	0
0.115	-1.04156	0
0.116	-1.02753	0
0.117	-1.01501	0
0.118	-1.00403	0
0.119	-0.994263	0
0.12	-0.986023	0
0.121	-0.979004	0
0.122	-0.973206	0
0.123	-0.968323	0
0.124	-0.963745	0
0.125	-0.959473	0
0.126	-0.9552	0
0.127	-0.951233	0
0.128	-0.94696	0
0.129	-0.942688	0
0.13	-0.93811	0
0.131	-0.933838	0
0.132	-0.928955	0
0.133	-0.924377	0
0.134	-0.9198	0
0.135	-0.915833	0
0.136	-0.91217	0
0.137	-0.909424	0
0.138	-0.907288	0
0.139	-0.905457	0
0.14	-0.903931	0
0.141	-0.9021	0
0.142	-0.899963	0
0.143	-0.897522	0
0.144	-0.89447	0
0.145	-0.890808	0
0.146	-0.886536	0
0.147	-0.882263	0
0.148	-0.877686	0
0.149	-0.873413	0
0.15	-0.869141	0
0.151	-0.865479	0
0.152	-0.861511	0
0.153	-0.857849	0
0.154	-0.853882	0
0.155	-0.85022	0
0.156	-0.846558	0
0.157	-0.843506	0
0.158	-0.840759	0
0.159	-0.838318	0
0.16	-0.836792	0
0.161	-0.835571	0
0.162	-0.834351	0
0.163	-0.833435	0
0.164	-0.832214	0
0.165	-0.830688	0
0.166	-0.828247	0
0.167	-0.82489	0
0.168	-0.820923	0
0.169	-0.81604	0
0.17	-0.810852	0
0.171	-0.805664	0
0.172	-0.800781	0
0.173	-0.796204	0
0.174	-0.791626	0
0.175	-0.787048	0
0.176	-0.782471	0
0.177	-0.777893	0
0.178	-0.773621	0
0.179	-0.769958	0
0.18	-0.766907	0
0.181	-0.76416	0
0.182	-0.762024	0
0.183	-0.760193	0
0.184	-0.758972	0
0.185	-0.757751	0
0.186	-0.756531	0
0.187	-0.75531	0
0.188	-0.754089	0
0.189	-0.752869	0
0.19	-0.751038	0
0.191	-0.749207	0
0.192	-0.746765	0
0.193	-0.744324	0
0.194	-0.741882	0
0.195	-0.739136	0
0.196	-0.736694	0
0.197	-0.733948	0
0.198	-0.731201	0
0.199	-0.728149	0
0.2	-0.724792	0
0.201	-0.72113	0
0.202	-0.717773	0
0.203	-0.713806	0
0.204	-0.709839	0
0.205	-0.705872	0
0.206	-0.701904	0
0.207	-0.697632	0
0.208	-0.692444	0
0.209	-0.68634	0
0.21	-0.679626	0
0.211	-0.672302	0
0.212	-0.665283	0
0.213	-0.658569	0
0.214	-0.652466	0
0.215	-0.646667	0
0.216	-0.641479	0
0.217	-0.635986	0
0.218	-0.630493	0
0.219	-0.625	0
0.22	-0.619812	0
