¬í	ECG	¤ß¸õ²v
0	-0.440979	0
0.001	-0.423279	0
0.002	-0.404663	0
0.003	-0.385132	0
0.004	-0.365295	0
0.005	-0.345154	0
0.006	-0.325623	0
0.007	-0.306396	0
0.008	-0.287781	0
0.009	-0.270081	0
0.01	-0.253601	0
0.011	-0.238037	0
0.012	-0.223999	0
0.013	-0.211487	0
0.014	-0.2005	0
0.015	-0.19104	0
0.016	-0.183411	0
0.017	-0.177612	0
0.018	-0.173645	0
0.019	-0.170898	0
0.02	-0.169678	0
0.021	-0.169678	0
0.022	-0.170288	0
0.023	-0.171204	0
0.024	-0.172729	0
0.025	-0.17395	0
0.026	-0.175476	0
0.027	-0.176392	0
0.028	-0.177002	0
0.029	-0.177307	0
0.03	-0.177002	0
0.031	-0.176392	0
0.032	-0.175476	0
0.033	-0.17395	0
0.034	-0.172424	0
0.035	-0.170288	0
0.036	-0.168152	0
0.037	-0.166016	0
0.038	-0.163574	0
0.039	-0.161133	0
0.04	-0.158997	0
0.041	-0.15686	0
0.042	-0.154724	0
0.043	-0.152588	0
0.044	-0.150757	0
0.045	-0.148926	0
0.046	-0.147095	0
0.047	-0.145569	0
0.048	-0.144043	0
0.049	-0.142212	0
0.05	-0.140686	0
0.051	-0.13916	0
0.052	-0.137634	0
0.053	-0.136108	0
0.054	-0.134583	0
0.055	-0.133362	0
0.056	-0.131836	0
0.057	-0.130615	0
0.058	-0.129395	0
0.059	-0.128479	0
0.06	-0.127258	0
0.061	-0.126038	0
0.062	-0.125122	0
0.063	-0.124207	0
0.064	-0.123291	0
0.065	-0.122375	0
0.066	-0.12146	0
0.067	-0.120544	0
0.068	-0.119629	0
0.069	-0.118713	0
0.07	-0.117493	0
0.071	-0.116577	0
0.072	-0.115356	0
0.073	-0.114136	0
0.074	-0.11261	0
0.075	-0.111389	0
0.076	-0.109558	0
0.077	-0.107727	0
0.078	-0.105896	0
0.079	-0.10376	0
0.08	-0.101624	0
0.081	-0.0991821	0
0.082	-0.0970459	0
0.083	-0.0946045	0
0.084	-0.0921631	0
0.085	-0.0897217	0
0.086	-0.0869751	0
0.087	-0.0845337	0
0.088	-0.0820923	0
0.089	-0.0793457	0
0.09	-0.0765991	0
0.091	-0.0738525	0
0.092	-0.071106	0
0.093	-0.0683594	0
0.094	-0.0656128	0
0.095	-0.0628662	0
0.096	-0.0601196	0
0.097	-0.057373	0
0.098	-0.0546265	0
0.099	-0.0521851	0
0.1	-0.0497437	0
0.101	-0.0473022	0
0.102	-0.045166	0
0.103	-0.0427246	0
0.104	-0.0405884	0
0.105	-0.0384521	0
0.106	-0.0363159	0
0.107	-0.0344849	0
0.108	-0.0323486	0
0.109	-0.0305176	0
0.11	-0.0283813	0
0.111	-0.0262451	0
0.112	-0.0241089	0
0.113	-0.0219727	0
0.114	-0.0195313	0
0.115	-0.0167847	0
0.116	-0.0137329	0
0.117	-0.0106812	0
0.118	-0.00762939	0
0.119	-0.00396729	0
0.12	-0.000305176	0
0.121	0.00335693	0
0.122	0.00701904	0
0.123	0.0109863	0
0.124	0.0146484	0
0.125	0.0186157	0
0.126	0.0222778	0
0.127	0.0256348	0
0.128	0.0289917	0
0.129	0.0323486	0
0.13	0.0354004	0
0.131	0.038147	0
0.132	0.0408936	0
0.133	0.043335	0
0.134	0.0460815	0
0.135	0.0485229	0
0.136	0.0509644	0
0.137	0.0537109	0
0.138	0.0561523	0
0.139	0.0588989	0
0.14	0.0616455	0
0.141	0.0646973	0
0.142	0.0674438	0
0.143	0.0708008	0
0.144	0.0738525	0
0.145	0.0772095	0
0.146	0.0805664	0
0.147	0.0839233	0
