L03 EEG I - 腦電圖
檔案名:  G3-EEG-L03
星期五, 三月 23, 2018
10:06:34 下午
秒	EEG	alpha	beta	delta	theta
0.035	-20.7092	-4.40301	-4.14754	-10.3444	-2.83921
0.04	-24.0295	-5.00126	-0.829687	-10.9211	-2.9893
0.045	-25.0244	-5.0884	2.69406	-11.467	-3.03473
0.05	-14.801	-4.64503	4.83786	-11.9785	-2.97522
0.055	-10.2844	-3.71014	4.85421	-12.4523	-2.81419
0.06	-10.7117	-2.37779	3.11777	-12.8853	-2.55979
0.065	-18.396	-0.786773	0.706474	-13.2748	-2.22311
0.07	-22.229	0.893793	-1.35766	-13.6182	-1.81818
0.075	-16.5466	2.48304	-2.64727	-13.9134	-1.36048
0.08	-11.0962	3.80906	-3.29818	-14.1593	-0.86718
0.085	-9.83887	4.72879	-3.52766	-14.3552	-0.357392
0.09	-10.4187	5.14461	-3.18792	-14.5002	0.149117
0.095	-10.6079	5.01511	-1.79979	-14.5942	0.633204
0.1	-10.0098	4.35873	0.887888	-14.6374	1.07727
0.105	-8.78296	3.25259	4.27146	-14.6308	1.46602
0.11	0.0244141	1.82333	6.80842	-14.5757	1.78529
0.115	0.115967	0.232977	6.7458	-14.4731	2.02408
0.12	-6.79932	-1.34121	3.31448	-14.3248	2.17494
0.125	-20.1111	-2.72798	-2.43316	-14.1332	2.23468
0.13	-27.7527	-3.7809	-7.84695	-13.9017	2.2042
0.135	-24.2065	-4.39372	-10	-13.6336	2.08732
0.14	-17.7734	-4.5119	-7.40587	-13.332	1.8908
0.145	-14.447	-4.1374	-1.04802	-13.0005	1.62448
0.15	-13.3911	-3.32795	5.98951	-12.6427	1.3011
0.155	-6.4209	-2.18916	10.1596	-12.2627	0.935219
0.16	-2.37427	-0.860089	9.41539	-11.8647	0.54335
0.165	-3.75366	0.503449	4.31207	-11.4528	0.143023
0.17	-12.5793	1.7477	-2.38897	-11.031	-0.248068
0.175	-20.4895	2.73674	-7.33325	-10.6035	-0.613181
0.18	-18.7378	3.36834	-8.40034	-10.174	-0.937269
0.185	-12.2314	3.58509	-5.66946	-9.74673	-1.20739
0.19	-7.01294	3.38023	-1.06194	-9.3258	-1.41293
0.195	-5.29785	2.79638	2.99018	-8.9149	-1.54595
0.2	-5.5542	1.91765	4.9154	-8.51731	-1.60172
0.205	-8.77686	0.858542	4.5988	-8.13604	-1.57968
0.21	-4.44946	-0.249507	2.98532	-7.77408	-1.48217
0.215	-5.83496	-1.27343	1.15824	-7.43389	-1.3146
0.22	-7.86133	-2.09406	-0.367532	-7.11754	-1.08443
0.225	-14.6179	-2.62078	-1.67886	-6.82689	-0.802458
0.23	-17.0471	-2.80155	-2.94472	-6.56366	-0.481977
0.235	-11.3708	-2.62687	-3.88713	-6.32926	-0.137736
0.24	-5.70679	-2.13058	-3.76641	-6.12452	0.215225
0.245	-5.18799	-1.38369	-1.95203	-5.94958	0.561868
0.25	-6.62842	-0.485211	1.34415	-5.80415	0.886851
0.255	-4.64478	0.450862	4.80179	-5.68769	1.17514
0.26	6.15234	1.30899	6.5325	-5.5996	1.41389
0.265	7.70874	1.98417	5.19537	-5.53925	1.59301
0.27	2.17285	2.39549	0.988958	-5.50548	1.70578
0.275	-9.30786	2.49554	-4.19279	-5.49667	1.74794
0.28	-12.9272	2.27559	-7.64727	-5.51091	1.71719
0.285	-7.86743	1.76557	-7.35667	-5.54608	1.61414
0.29	-3.55835	1.02989	-3.22167	-5.59978	1.44258
0.295	-4.10156	0.158899	2.76772	-5.66964	1.20927
0.3	-1.69067	-0.740918	7.53178	-5.75325	0.923162
0.305	2.09351	-1.55995	8.54815	-5.84772	0.595342
0.31	0.390625	-2.198	5.21583	-5.95022	0.238953
0.315	-9.47266	-2.57601	-0.807183	-6.05795	-0.131329
0.32	-20.9778	-2.64615	-6.47468	-6.16858	-0.500328
0.325	-21.7773	-2.3966	-8.92694	-6.27983	-0.853755
0.33	-13.4705	-1.85322	-6.96382	-6.38928	-1.17834
0.335	-5.40771	-1.0764	-1.61341	-6.49456	-1.46177
0.34	-3.40576	-0.154836	4.449	-6.59363	-1.69313
0.345	-4.47388	0.804932	8.29049	-6.68428	-1.86326
0.35	-2.4231	1.69118	8.184	-6.76467	-1.96616
0.355	-0.640869	2.3992	4.37846	-6.83333	-1.99845
0.36	-2.01416	2.84308	-1.15664	-6.88915	-1.9595
0.365	-8.43506	2.96674	-5.80846	-6.93101	-1.85095
0.37	-15.0208	2.75133	-7.62598	-6.95793	-1.67675
0.375	-14.4104	2.21728	-6.1633	-6.96937	-1.44333
0.38	-10.3943	1.42195	-2.4887	-6.96547	-1.16002
0.385	-5.10254	0.452492	1.57321	-6.94658	-0.837721
0.39	1.15967	-0.582471	4.42387	-6.91308	-0.488621
0.395	0.213623	-1.56569	5.36033	-6.86563	-0.125383
0.4	-4.40674	-2.38489	4.60394	-6.80472	0.238839
0.405	-10.083	-2.94533	2.84698	-6.73125	0.590849
0.41	-10.8582	-3.18055	0.714501	-6.64634	0.918334
0.415	-7.51953	-3.06067	-1.46553	-6.55169	1.21048
0.42	-8.6731	-2.59563	-3.49573	-6.44907	1.45809
0.425	-11.145	-1.8361	-4.99097	-6.3403	1.65337
0.43	-11.9141	-0.867161	-5.27721	-6.22706	1.79004
0.435	-9.56421	0.20156	-3.73102	-6.11076	1.86437
0.44	-4.99268	1.24915	-0.360559	-5.99291	1.87518
0.445	-0.744629	2.15754	3.82102	-5.87522	1.82435
0.45	7.4585	2.82361	7.03066	-5.75995	1.71589
0.455	9.85718	3.17048	7.57319	-5.64908	1.55541
0.46	4.95605	3.15758	4.8308	-5.54428	1.35005
0.465	-5.42603	2.78585	-0.230147	-5.44694	1.10851
0.47	-12.5427	2.0981	-5.4169	-5.35833	0.839613
0.475	-11.9812	1.17385	-8.36656	-5.27969	0.553329
0.48	-8.05054	0.120503	-7.72909	-5.21179	0.260159
0.485	-6.97021	-0.93924	-3.80189	-5.1552	-0.0286795
0.49	-8.11157	-1.88346	1.65641	-5.11046	-0.302698
0.495	-7.31201	-2.60312	6.31018	-5.07808	-0.553301
0.5	-1.54419	-3.01554	8.2891	-5.05852	-0.773217
0.505	1.37939	-3.07266	6.90901	-5.05171	-0.956483
0.51	-2.75879	-2.76853	2.82614	-5.05707	-1.09859
0.515	-11.9568	-2.14099	-2.33207	-5.074	-1.19628
0.52	-17.5476	-1.26642	-6.60355	-5.10182	-1.24917
0.525	-15.3198	-0.250487	-8.36421	-5.13913	-1.25783
0.53	-9.39331	0.785188	-6.86439	-5.18441	-1.22451
0.535	-4.85229	1.71502	-2.52682	-5.23612	-1.15204
0.54	-1.80664	2.42725	3.07343	-5.29314	-1.04447
0.545	0.567627	2.83649	7.68208	-5.3541	-0.907236
0.55	7.74536	2.89529	9.23311	-5.41699	-0.747577
0.555	5.13306	2.59885	6.83863	-5.47971	-0.57285
0.56	-1.94702	1.98484	1.37972	-5.54055	-0.390502
0.565	-12.561	1.12959	-4.74114	-5.59771	-0.207255
0.57	-16.3635	0.139396	-8.69868	-5.64902	-0.0293146
0.575	-12.793	-0.8628	-8.6714	-5.69204	0.13743
0.58	-9.08203	-1.75201	-4.80992	-5.72473	0.287764
0.585	-8.53271	-2.41661	0.839224	-5.74573	0.417461
0.59	-5.67017	-2.77382	5.44702	-5.75391	0.523257
0.595	-0.671387	-2.77832	6.94733	-5.74773	0.60298
0.6	-0.158691	-2.42871	5.10585	-5.72559	0.655614
0.605	-3.21655	-1.7668	1.48661	-5.68619	0.681402
0.61	-8.71582	-0.873843	-1.63985	-5.62856	0.681054
0.615	-9.46045	0.138011	-2.73152	-5.55206	0.656301
0.62	-5.62134	1.14015	-1.82199	-5.45623	0.609977
0.625	-3.17383	2.00377	-0.28557	-5.34081	0.546111
