L01 EMG I - 肌電圖
檔案名:  G3-EMGR2-L01
星期五, 三月 23, 2018
08:34:35 下午
秒	EMG	EMG 積分
0.022	0.0268555	0.00292358
0.024	0.0231934	0.00319214
0.026	0.020752	0.00342407
0.028	0.0195313	0.00363159
0.03	0.0262451	0.0038269
0.032	0.0238037	0.00408936
0.034	0.00854492	0.00432739
0.036	0.00976563	0.00441284
0.038	0.0366211	0.0045105
0.04	0.0164795	0.00487671
0.042	0.0213623	0.0050415
0.044	0.0189209	0.00525513
0.046	0.020752	0.00544434
0.048	0.0213623	0.00565186
0.05	0.0183105	0.00586548
0.052	0.0195313	0.00604858
0.054	0.0183105	0.0062439
0.056	0.0201416	0.006427
0.058	0.0213623	0.00662842
0.06	0.0201416	0.00684204
0.062	0.0219727	0.00704346
0.064	0.0219727	0.00726318
0.066	0.020752	0.00748291
0.068	0.0201416	0.00769043
0.07	0.020752	0.00789185
0.072	0.0195313	0.00809937
0.074	0.0183105	0.00829468
0.076	0.0146484	0.00847778
0.078	0.0115967	0.00862427
0.08	0.0164795	0.00874023
0.082	0.012207	0.00890503
0.084	0.0115967	0.0090271
0.086	0.0128174	0.00914307
0.088	0.010376	0.00927124
0.09	0.00915527	0.009375
0.092	0.00976563	0.00946655
0.094	0.0134277	0.00956421
0.096	0.010376	0.00969849
0.098	0.00732422	0.00980225
0.1	0.0109863	0.00987549
0.102	0.0177002	0.00998535
0.104	0.0134277	0.0101624
0.106	0.0115967	0.0102966
0.108	0.0146484	0.0104126
0.11	0.0164795	0.0105591
0.112	0.0195313	0.0107239
0.114	0.0140381	0.0109192
0.116	0.0152588	0.0110596
0.118	0.0134277	0.0112122
0.12	0.0189209	0.0113464
0.122	0.0189209	0.0115356
0.124	0.0158691	0.0117249
0.126	0.0152588	0.0118835
0.128	0.0164795	0.0120361
0.13	0.0164795	0.0122009
0.132	0.0170898	0.0123657
0.134	0.0219727	0.0125366
0.136	0.0183105	0.0127563
0.138	-0.00427246	0.0129395
0.14	0.00488281	0.0129822
0.142	0.0213623	0.013031
0.144	0.00610352	0.0132446
0.146	0.00488281	0.0133057
0.148	0.00732422	0.0133545
0.15	0.0140381	0.0134277
0.152	0.012207	0.0135681
0.154	0.0170898	0.0136902
0.156	0.0170898	0.0138611
