¬í	EMG	EMG ¿n¤À
0	0.0012207	0
0.002	-0.0262451	1.2207E-005
0.004	0.020752	0.000274658
0.006	0.00427246	0.000482178
0.008	-0.00305176	0.000524902
0.01	-0.00427246	0.00055542
0.012	0.0115967	0.000598145
0.014	0.00305176	0.000714111
0.016	0.00610352	0.000744629
0.018	0.0115967	0.000805664
0.02	0.00549316	0.000921631
0.022	0.00732422	0.000976563
0.024	0.00793457	0.0010498
0.026	0.000610352	0.00112915
0.028	-0.00854492	0.00113525
0.03	0.00244141	0.0012207
0.032	0.0140381	0.00124512
0.034	0.00854492	0.0013855
0.036	-0.00549316	0.00147095
0.038	0.0115967	0.00152588
0.04	0.00732422	0.00164185
0.042	0.0134277	0.00171509
0.044	-0.00183105	0.00184937
0.046	0.00854492	0.00186768
0.048	-0.00854492	0.00195313
0.05	-0.00427246	0.00203857
0.052	0.00305176	0.0020813
0.054	-0.020752	0.00211182
0.056	-0.0012207	0.00231934
0.058	0.0286865	0.00233154
0.06	-0.0170898	0.00261841
0.062	0.00793457	0.00278931
0.064	-0.00427246	0.00286865
0.066	0.012207	0.00291138
0.068	0.00915527	0.00303345
0.07	-0.00976563	0.003125
0.072	-0.00366211	0.00322266
0.074	-0.00915527	0.00325928
0.076	-0.000610352	0.00335083
0.078	0.00183105	0.00335693
0.08	0.0238037	0.00337524
0.082	0	0.00361328
0.084	-0.00366211	0.00361328
0.086	0.0140381	0.0036499
0.088	-0.00488281	0.00379028
0.09	0.0164795	0.00383911
0.092	0.00610352	0.00400391
0.094	-0.0115967	0.00406494
0.096	-0.00549316	0.00418091
0.098	0.0128174	0.00423584
0.1	0.0128174	0.00436401
0.102	0.0134277	0.00449219
0.104	-0.0134277	0.00462646
0.106	0.0140381	0.00476074
0.108	0.00427246	0.00490112
0.11	0.00793457	0.00494385
0.112	0.0115967	0.00502319
0.114	-0.010376	0.00513916
0.116	-0.0128174	0.00524292
0.118	0.020752	0.00537109
0.12	0.0158691	0.00557861
0.122	-0.012207	0.0057373
0.124	-0.00183105	0.00585938
0.126	0.00366211	0.00587769
0.128	0.0134277	0.00591431
0.13	-0.00732422	0.00604858
0.132	-0.00488281	0.00612183
0.134	-0.010376	0.00617065
0.136	0.0146484	0.00627441
0.138	0	0.0064209
0.14	0.0213623	0.0064209
0.142	0.00427246	0.00663452
0.144	0.0128174	0.00667725
0.146	-0.00549316	0.00680542
0.148	-0.0115967	0.00686035
0.15	0.0128174	0.00697632
0.152	0.00427246	0.00710449
0.154	-0.010376	0.00714722
0.156	-0.0219727	0.00725098
0.158	0.00427246	0.0074707
0.16	-0.00671387	0.00751343
0.162	0.00366211	0.00758057
0.164	-0.0219727	0.00761719
0.166	0.0335693	0.00783691
0.168	-0.00305176	0.00817261
0.17	-0.0128174	0.00820313
0.172	0.000610352	0.0083313
0.174	-0.0012207	0.0083374
0.176	0.0366211	0.00834961
0.178	-0.0335693	0.00871582
0.18	-0.00732422	0.00905151
0.182	0.0140381	0.00912476
0.184	-0.000610352	0.00926514
0.186	-0.012207	0.00927124
0.188	0	0.00939331
0.19	-0.00915527	0.00939331
0.192	-0.00854492	0.00948486
0.194	0.0012207	0.00957031
0.196	0.00854492	0.00958252
0.198	0.012207	0.00966797
0.2	0.000610352	0.00978394
0.202	-0.00854492	0.00960693
0.204	0.0012207	0.00941162
0.206	-0.00244141	0.00939331
0.208	-0.0012207	0.009375
0.21	0.0189209	0.00952148
0.212	-0.0140381	0.0095459
0.214	0	0.00951538
0.216	0.00366211	0.00949097
0.218	0.00427246	0.00941772
0.22	0.010376	0.00946655
0.222	0.012207	0.00951538
0.224	0.0109863	0.0095459
0.226	-0.00183105	0.00955811
0.228	-0.000610352	0.00947876
0.23	-0.00854492	0.00953979
0.232	0.00427246	0.00944214
0.234	0.00305176	0.00938721
0.236	-0.0213623	0.0095459
0.238	-0.00427246	0.00947266
0.24	-0.00610352	0.00946045
0.242	0	0.00932617
0.244	-0.0158691	0.00946655
0.246	0.0219727	0.00960083
0.248	-0.000610352	0.00952148
